title,author
Golden Chronicles Frost Ocean Forgotten Handbook,Sarah Clark
Frost Inheritance Iron Core Dark Destiny,Barbara Parker
Silver Chronicles,Brenda Gomez
Steel Kernel Shattered Expedition Iron Desert,James Green
Cold Story Midnight Sanctuary Rising Tale,Susan White
Crimson Ballad Serpent Legend,Nicole Ortiz
Wind Canvas,Jonathan Young
Silent Coast Eagle Epopee,Pamela Roberts
Eternal Requiem Shadow Guidebook Wolf Island,David Reyes
Last Desert,Ryan Sanders
First Fable,Anthony Morgan
Storm Exodus Stone Revelation Fire Compendium,Christopher Graham
Midnight Primer Storm Enigma,Jerry Anderson
Tiger Reckoning,Kenneth Perry
Eternal Dictionary Wind Riddle,Margaret Dixon
Bear Canvas Sacred Garden,Sarah Murphy
Storm Garden Frost Compass Fox Cipher,George Cruz
Silver Theorem,Barbara Gonzalez
Sacred Fortress,Diane Henderson
Eternal Matrix Last Symphony Blood Omnibus,Stephen Williams
Wind Asylum Storm Forest Wolf Story,Joseph Ramos
Bitter Trail The Garden,Nicholas Rivera
Crimson Horizon Eagle Calculus Stone Treatise,Karen Myers
Fire Odyssey,Scott Chavez
A Reckoning First Maze,Donald Anderson
Bear Revelation,David Harvey
Raven Legacy,Thomas Bryant
Bitter Garden Blood Core Rising Companion,Carolyn Richardson
Shadow Paradigm Bright Passage,Jessica Murphy
Eternal Tale,John Grant
Iron Primer,James Jackson
Iron Labyrinth Shattered Fortress Fox Reckoning,Kevin Jackson
Forgotten Desert Shadow Finale Rising Prophecy,Patrick Hudson
Iron Compendium Dragon Nocturne Phoenix Interface,Matthew Harris
Shadow Voyage,Amanda Henderson
Steel Enigma Storm Haven,Linda Russell
Secret Crusade Forgotten Memoir Falling Expedition,Sarah Henderson
Midnight Palette,Ashley Martin
Phoenix Haven Lost Prophecy,Barbara Stewart
Deep Finale,Kathleen Diaz
Fox Labyrinth Bitter Network,James Jimenez
Dragon Trail Hollow Core,Rachel Stone
Fire Finale Sacred Journal Hollow Encyclopedia,Linda Adams
Fire Labyrinth Frost Riddle Lost Paradox,Justin Alexander
Serpent Fortress Lost Geometry Silent Diary,William Moore
Lion Textbook Wild Chronicle Bear Anthology,Justin Hernandez
Silent Kernel Shadow Riddle Ancient Atlas,Christine Watson
Ancient Signal,Thomas Kim
Burning Exodus The Canvas,Helen Dunn
Eternal Dictionary,Nicholas Ortiz
Final Fortress,Ashley Patel
Bitter Pilgrimage Eagle Labyrinth,Brandon Robertson
Shadow Horizon,Raymond Clark
Ancient Asylum,Susan Grant
Midnight River,Nicole Turner
Secret Atlas Storm Garden Silver Equation,Steven Wilson
Iron Core,Emily Lopez
Secret Prophecy,Samantha Ortiz
Frost Quest,Stephen Barnes
The Reckoning Eternal Labyrinth Fire Awakening,Melissa Grant
Cold Legacy,Jennifer Ward
Fox Convergence Fox Ballad,Anthony Murphy
Crimson Fable Wolf Interface Glass Sanctuary,Donald Adams
Bear Module,Patricia Rivera
Secret Module Phoenix Anthology Midnight Fortress,Tyler Ramirez
Lion Awakening Serpent Sonata,Mark Phillips
Final Maze Tiger Guidebook,Mark Miller
Falling Cipher Secret Desert Lion Fortress,Jerry Bailey
Steel Geometry Wild Chronicle,Patricia Robinson
Broken Garden Dark Crusade,Scott Fisher
Wind Riddle Cold Geometry,Joseph Foster
Falling Collection Dark Journey The Treatise,George Gonzales
Shadow Chronicle,Helen Watson
Serpent Odyssey Wind Horizon Silver Puzzle,Christine Sullivan
Wild Coast Storm Legacy,Matthew Butler
Last Covenant Glass Labyrinth Wild Odyssey,Joshua Kelly
Cold Secret,Cynthia Simmons
Storm Dictionary Silver Nocturne,Diane Baker
Silent River Silver Saga Silent Textbook,Gregory Richardson
Phoenix Treatise,Charles Miller
Forgotten Nocturne,Brandon Jackson
Deep Memoir Fire Matrix,Amy Perry
